		188146
1000001	238478	543
1000002	155119	44
1000002	189598	410
1000003	159705	20
1000004	172915	81
1000004	200692	10
1000004	245387	50
1000006	195400	89
1000007	246321	12
1000008	177761	34
1000008	244063	89
1000009	171199	25
1000009	192194	32
1000009	202757	14
1000009	240451	81
1000011	194520	202
1000011	236690	265
1000012	192880	108
1000012	225457	7
1000013	168064	53
1000013	174450	22
1000013	197754	70
1000014	196848	93
1000015	157739	14
1000015	213118	33
1000016	227425	29
1000017	169510	107
1000019	160571	37
1000020	200563	35
1000020	203692	18
1000020	228489	164
1000021	164318	7
1000022	186562	40
1000022	192128	1
1000024	244647	223
1000026	174295	26
1000027	234853	71
1000028	156749	71
1000029	192060	71
1000029	242245	172
1000030	153102	7
1000030	196714	53
1000032	172565	49
1000033	177480	44
1000033	198581	227
1000033	231677	115
1000034	164226	1
1000034	175843	22
1000034	186762	39
1000036	200433	17
1000037	194829	30
1000037	238903	84
1000037	246481	4
1000038	174140	16
1000038	202516	44
1000038	243153	511
1000039	165116	9
1000039	185139	192
1000041	153942	12
1000041	166005	8
1000042	189332	244
1000042	241620	132
1000043	166895	12
1000043	170786	53
1000043	211266	5
1000043	244192	63
1000044	213769	14
1000046	167783	14
1000046	196585	152
1000047	239218	113
1000047	240579	138
1000048	150904	6
1000048	208560	7
1000049	191927	68
1000049	206664	20
1000050	158405	46
1000051	210111	18
1000053	200304	38
1000054	173952	38
1000054	198051	115
1000054	227082	78
1000057	154733	5
1000058	177199	30
1000058	212270	7
1000059	236663	8
1000060	151953	42
1000060	233795	407
1000060	235575	1
1000061	222544	6
1000063	185464	116
1000063	196456	52
1000064	204388	8
1000064	238592	92
1000065	201225	14
1000066	211814	2
1000067	198311	239
1000068	202274	4
1000068	237698	681
1000069	152831	47
1000069	173764	32
1000069	200175	34
1000069	230107	535
1000070	191793	41
1000070	197927	2
1000071	230594	29
1000071	246610	52
1000072	211524	2
1000072	216654	15
1000073	241009	21
1000074	155523	15
1000074	161750	8
1000074	215747	10
1000075	225573	80
1000076	216354	24
1000077	170372	32
1000077	216049	14
1000079	196327	152
1000080	160148	123
1000080	220139	57
1000081	162778	7
1000081	208688	25
1000081	210056	1
1000082	206387	9
1000083	185748	236
1000083	189065	186
1000084	202144	10
1000085	212756	18
1000085	230747	1
1000085	240706	65
1000086	176849	108
1000086	200046	5
1000087	228606	123
1000088	168658	70
1000089	211733	4
1000090	191660	46
1000091	156314	6
1000091	214734	52
1000091	231792	3
1000092	212760	7
1000092	246183	2
1000093	164430	127
1000093	248909	7
1000094	157203	5
1000094	235856	311
1000095	196198	50
1000095	236792	126
1000096	161087	22
1000096	211208	2
1000096	241144	58
1000096	242368	68
1000097	248931	12
1000098	202033	185
1000098	232836	255
1000098	236791	1
1000098	249298	132
1000099	178228	69
1000099	244161	29
1000101	202014	12
1000101	206231	16
1000101	229680	1713
1000102	193706	1
1000102	199916	22
1000103	186031	323
1000103	230738	75
1000104	165570	40
1000104	173345	100
1000105	246739	7
1000106	211403	19
1000106	234958	101
1000107	152561	17
1000107	204048	44
1000109	157994	9
1000109	167348	50
1000110	191526	55
1000110	213062	1
1000111	180775	54
1000111	199838	18
1000111	210000	1
1000111	234956	1
1000111	239937	480
1000112	169947	65
1000112	196069	125
1000112	245745	279
1000113	208817	13
1000114	154347	43
1000115	176498	50
1000115	231329	68
1000115	239337	63
1000115	240542	180
1000120	180631	6
1000120	213269	26
1000121	150396	23
1000121	162299	24
1000121	229191	419
1000122	227205	124
1000123	157898	1
1000124	188798	193
1000124	240833	58
1000125	194886	38
1000125	244888	159
1000126	226440	124
1000126	238706	753
1000127	168162	123
1000128	195940	74
1000128	201792	19
1000128	212367	28
1000128	247587	37
1000129	158836	4
1000129	180488	32
1000129	230873	25
1000130	180995	443
1000130	191393	21
1000130	199685	1
1000131	240681	1
1000133	225236	10
1000133	244290	130
1000134	199708	1
1000134	244289	1
1000136	236918	103
1000137	157803	7
1000137	202773	14
1000138	172926	20
1000138	199663	30
1000138	246866	55
1000139	177770	26
1000139	193715	158
1000140	180353	3
1000140	201698	4
1000141	237364	1
1000142	159726	28
1000142	176176	119
1000142	225685	681
1000143	199733	16
1000143	241865	95
1000144	171211	26
1000144	195811	138
1000146	169521	17
1000146	192081	1
1000147	155928	48
1000148	181215	57
1000148	228720	131
1000150	199529	18
1000150	203708	28
1000150	231908	56
1000151	163530	70
1000151	180218	33
1000151	191259	45
1000151	208964	4
1000151	215230	37
1000152	172751	31
1000153	235084	166
1000156	246143	48
1000157	194732	216
1000157	209336	2
