lat,long,zipcode,Lat_Lon
-73.86942457,40.74915687,11372,"(-73.8694245728418, 40.7491568709679)"
-73.8914313,40.74684466,11372,"(-73.8914312997728, 40.7468446604193)"
-73.89507143,40.74646547,11372,"(-73.8950714324086, 40.7464654708122)"
-73.89618738,40.74850943,11372,"(-73.8961873786782, 40.7485094251809)"
-73.89583954,40.74854688,11372,"(-73.8958395418514, 40.748546875706)"
-73.89525243,40.74830661,11372,"(-73.895252427744, 40.7483066094502)"
-73.89654041,40.750542,11372,"(-73.8965404108556, 40.7505419981436)"
-73.89579869,40.75061972,11372,"(-73.8957986861383, 40.7506197213326)"
-73.89652231,40.7543888,11372,"(-73.8965223066143, 40.754388796109)"
-73.88164812,40.75595162,11372,"(-73.8816481218848, 40.7559516170419)"
-73.87221856,40.75694325,11372,"(-73.8722185588248, 40.7569432480675)"
-73.87167992,40.75398717,11372,"(-73.8716799235679, 40.753987174396)"
-73.87207047,40.75386201,11372,"(-73.8720704651389, 40.7538620070521)"
-73.71132911,40.74947451,11004,"(-73.7113291112531, 40.7494745081609)"
-73.71068374,40.75004039,11004,"(-73.7106837407401, 40.7500403945092)"
-73.70869392,40.74875837,11004,"(-73.7086939237995, 40.7487583655718)"
-73.70713085,40.74958274,11004,"(-73.7071308468418, 40.7495827405379)"
-73.70419968,40.75016955,11004,"(-73.7041996793636, 40.7501695525698)"
-73.70218529,40.74474189,11004,"(-73.7021852869823, 40.7447418877539)"
-73.70308722,40.74454726,11004,"(-73.7030872183074, 40.7445472573551)"
-73.70098279,40.7388957,11004,"(-73.7009827862555, 40.7388956992303)"
-73.71371033,40.7361747,11004,"(-73.7137103324691, 40.7361747048655)"
-73.71474184,40.73782937,11004,"(-73.714741836008, 40.7378293680411)"
-73.71567896,40.73962915,11004,"(-73.7156789596889, 40.7396291491563)"
-73.71867076,40.74631499,11004,"(-73.7186707593958, 40.7463149905743)"
-73.71966143,40.74894524,11004,"(-73.719661429357, 40.7489452364315)"
-73.72082889,40.75117303,11004,"(-73.7208288904931, 40.751173028173)"
-73.72117809,40.75232189,11004,"(-73.7211780911046, 40.7523218922456)"
-73.72250622,40.75335847,11004,"(-73.7225062224742, 40.7533584708149)"
-73.72270447,40.75373371,11004,"(-73.7227044714412, 40.7537337143834)"
-73.7218361,40.75486513,11004,"(-73.7218361027607, 40.7548651313031)"
-73.7210929,40.75628134,11004,"(-73.7210928965177, 40.7562813418113)"
-73.71775342,40.75534756,11004,"(-73.7177534150248, 40.7553475594234)"
-73.71730957,40.75595783,11004,"(-73.7173095733574, 40.7559578299562)"
-73.71534601,40.75550893,11004,"(-73.7153460100235, 40.7555089333013)"
-73.71553103,40.75506458,11004,"(-73.715531030196, 40.7550645807239)"
-73.71541782,40.75499844,11004,"(-73.7154178153577, 40.7549984440815)"
-73.71509806,40.75181177,11004,"(-73.7150980617929, 40.7518117707593)"
-73.70098279,40.7388957,11040,"(-73.7009827862555, 40.7388956992303)"
