ZIP CODE,Freq_Colli,Freq_Crime
10000.0,92,
10001.0,4737,75590.0
10002.0,4052,52297.0
10003.0,2920,54137.0
10004.0,651,4323.0
10005.0,392,3014.0
10006.0,448,3276.0
10007.0,1245,14333.0
10009.0,1655,31121.0
10010.0,2285,19039.0
10011.0,3249,45297.0
10012.0,2313,29317.0
10013.0,4194,31249.0
10014.0,1844,27344.0
10016.0,5165,26443.0
10017.0,3213,15562.0
10018.0,3537,28077.0
10019.0,5084,42245.0
10020.0,245,3395.0
10021.0,1841,10045.0
10022.0,4949,24736.0
10023.0,2117,28070.0
10024.0,1859,22236.0
10025.0,2276,44356.0
10026.0,1103,30497.0
10027.0,2616,64166.0
10028.0,1318,14549.0
10029.0,2976,71511.0
10030.0,1123,26366.0
10031.0,1467,44989.0
10032.0,1908,34264.0
10033.0,1892,27382.0
10034.0,1563,20048.0
10035.0,2673,47440.0
10036.0,4801,47406.0
10037.0,1027,14839.0
10038.0,978,12022.0
10039.0,729,23784.0
10040.0,849,17269.0
10041.0,1,
10048.0,50,243.0
10065.0,2716,14217.0
10069.0,67,559.0
10075.0,988,5902.0
10103.0,1,
10105.0,6,
10106.0,1,
10107.0,1,
10110.0,3,
10111.0,11,349.0
10112.0,2,
10118.0,6,
10119.0,86,
10120.0,1,
10121.0,9,
10123.0,8,
10128.0,1750,15621.0
10151.0,1,
10153.0,5,
10154.0,1,
10155.0,4,
10165.0,8,
10167.0,2,
10168.0,14,
10169.0,11,22.0
10170.0,1,
10171.0,1,
10172.0,13,
10173.0,1,
10174.0,1,
10178.0,1,
10271.0,2,
10278.0,4,
10280.0,77,1184.0
10281.0,28,185.0
10282.0,38,1103.0
10301.0,2051,29909.0
10302.0,140,14716.0
10303.0,110,17946.0
10304.0,2229,29182.0
10305.0,1902,19044.0
10306.0,2747,23341.0
10307.0,375,5093.0
10308.0,876,9327.0
10309.0,1354,12919.0
10310.0,1179,16969.0
10312.0,2198,17415.0
10314.0,1043,39044.0
10451.0,2756,51336.0
10452.0,1873,61011.0
10453.0,2186,56088.0
10454.0,2209,44259.0
10455.0,1946,47444.0
10456.0,2178,78167.0
10457.0,2567,73024.0
10458.0,2947,62478.0
10459.0,2131,48848.0
10460.0,2445,50257.0
10461.0,2485,29752.0
10462.0,2258,43317.0
10463.0,2037,35819.0
10464.0,218,2335.0
10465.0,1478,20477.0
10466.0,3008,37351.0
10467.0,3642,64646.0
10468.0,2540,58743.0
10469.0,2527,31462.0
10470.0,1039,8921.0
10471.0,625,8456.0
10472.0,1897,56967.0
10473.0,1720,45846.0
10474.0,1282,20104.0
10475.0,1478,19792.0
10803.0,2,
11001.0,171,746.0
11004.0,830,2608.0
11005.0,37,351.0
11040.0,117,994.0
11101.0,5258,31349.0
11102.0,1045,14870.0
11103.0,1267,17292.0
11104.0,745,8911.0
11105.0,952,12839.0
11106.0,1538,18244.0
11109.0,40,323.0
11201.0,4801,56255.0
11203.0,4584,49092.0
11204.0,2731,20003.0
11205.0,2353,28332.0
11206.0,3694,68621.0
11207.0,6628,90879.0
11208.0,4001,73094.0
11209.0,2253,31000.0
11210.0,3053,31992.0
11211.0,3320,44865.0
11212.0,3964,85333.0
11213.0,3568,51406.0
11214.0,2741,33575.0
11215.0,2906,26991.0
11216.0,3097,50335.0
11217.0,3186,31846.0
11218.0,2723,22276.0
11219.0,2844,21915.0
11220.0,3638,38679.0
11221.0,3037,62815.0
11222.0,2607,18089.0
11223.0,3039,30310.0
11224.0,1465,34119.0
11225.0,2359,38468.0
11226.0,4277,69322.0
11228.0,1574,12551.0
11229.0,2693,30423.0
11230.0,3659,23413.0
11231.0,1458,21239.0
11232.0,1818,17795.0
11233.0,3720,68990.0
11234.0,4317,44158.0
11235.0,3195,32680.0
11236.0,4543,54428.0
11237.0,2220,29293.0
11238.0,2536,28628.0
11239.0,654,9707.0
11242.0,1,
11249.0,1360,
11251.0,1,761.0
11354.0,3631,29239.0
11355.0,3347,20247.0
11356.0,1099,8960.0
11357.0,1212,8856.0
11358.0,1705,9422.0
11359.0,6,17.0
11360.0,417,3718.0
11361.0,1753,9439.0
11362.0,731,4439.0
11363.0,403,1621.0
11364.0,1009,7835.0
11365.0,1075,11581.0
11366.0,839,3647.0
11367.0,1411,14216.0
11368.0,3015,39500.0
11369.0,1594,21610.0
11370.0,1229,17179.0
11372.0,2715,31879.0
11373.0,3042,37921.0
11374.0,1582,14638.0
11375.0,2473,20021.0
11377.0,3160,32316.0
11378.0,2032,15400.0
11379.0,1404,10944.0
11385.0,4239,49528.0
11411.0,1078,7216.0
11412.0,1671,17658.0
11413.0,2627,19109.0
11414.0,1090,9210.0
11415.0,681,5645.0
11416.0,1207,11924.0
11417.0,1798,15261.0
11418.0,1699,18640.0
11419.0,2231,23118.0
11420.0,2638,21795.0
11421.0,1445,15110.0
11422.0,2254,11370.0
11423.0,1403,12412.0
11426.0,757,5586.0
11427.0,963,7090.0
11428.0,886,6155.0
11429.0,1256,11549.0
11430.0,54,1546.0
11432.0,2871,36522.0
11433.0,1808,31631.0
11434.0,4247,36639.0
11435.0,2443,27058.0
11436.0,882,11475.0
11691.0,1923,35276.0
11692.0,473,9815.0
11693.0,469,8895.0
11694.0,525,7797.0
11695.0,4,
11697.0,47,749.0
     ,42,
10000,6,
10001,4877,
10002,4204,
10003,3305,
10004,724,
10005,410,
10006,472,
10007,1221,
10009,1900,
10010,2563,
10011,3405,
10012,2562,
10013,4429,
10014,2153,
10016,5461,
10017,3481,
10018,3724,
10019,5360,
10020,237,
10021,2086,
10022,5511,
10023,2499,
10024,2229,
10025,2494,
10026,1015,
10027,2696,
10028,1535,
10029,3040,
10030,1056,
10031,1555,
10032,1790,
10033,1784,
10034,1429,
10035,2627,
10036,5192,
10037,948,
10038,963,
10039,556,
10040,820,
10065,3228,
10069,101,
10075,1168,
10111,9,
10119,77,
10128,2130,
10280,73,
10281,18,
10282,33,
10301,2145,
10302,400,
10303,441,
10304,2298,
10305,2024,
10306,3030,
10307,324,
10308,976,
10309,1220,
10310,1257,
10312,2254,
10314,2295,
10451,2388,
10452,1988,
10453,1953,
10454,1660,
10455,1609,
10456,2013,
10457,2239,
10458,2804,
10459,1918,
10460,2253,
10461,2377,
10462,2139,
10463,1937,
10464,225,
10465,1363,
10466,2729,
10467,3628,
10468,2616,
10469,2492,
10470,1020,
10471,625,
10472,1690,
10473,1379,
10474,921,
10475,1268,
10803,2,
11001,151,
11004,800,
11005,24,
11040,121,
11101,5557,
11102,1115,
11103,1440,
11104,977,
11105,1045,
11106,1682,
11109,42,
11201,4931,
11203,4519,
11204,2798,
11205,2209,
11206,3532,
11207,6608,
11208,3663,
11209,2090,
11210,2737,
11211,3356,
11212,3525,
11213,3605,
11214,2723,
11215,3079,
11216,3248,
11217,3176,
11218,2653,
11219,2870,
11220,3851,
11221,2777,
11222,2422,
11223,3050,
11224,1442,
11225,2518,
11226,3918,
11228,1599,
11229,2857,
11230,3667,
11231,1371,
11232,2156,
11233,3425,
11234,4132,
11235,3223,
11236,4043,
11237,1957,
11238,2642,
11239,400,
11249,1277,
11354,3377,
11355,3123,
11356,1042,
11357,1082,
11358,1761,
11359,3,
11360,419,
11361,1791,
11362,648,
11363,478,
11364,1086,
11365,1066,
11366,809,
11367,1441,
11368,2880,
11369,1443,
11370,1192,
11372,2890,
11373,3229,
11374,1739,
11375,2702,
11377,3467,
11378,2036,
11379,1441,
11385,4199,
11411,964,
11412,1578,
11413,2332,
11414,978,
11415,707,
11416,1142,
11417,1739,
11418,1633,
11419,2075,
11420,2123,
11421,1362,
11422,2150,
11423,1332,
11426,712,
11427,984,
11428,928,
11429,1035,
11430,42,
11432,2764,
11433,1724,
11434,3730,
11435,2180,
11436,742,
11691,1587,
11692,420,
11693,459,
11694,502,
11695,7,
11697,49,
