,year,month,weeknum,weekday,freq_complian,freq_motor
0,2006,11,46,3,1582,
1,2011,1,1,1,1214,
2,2012,1,1,6,1376,
3,2007,5,21,5,1584,
4,2012,10,42,4,1543,630
5,2013,6,26,5,1473,608
6,2011,11,48,2,1503,
7,2006,12,50,6,1254,
8,2006,6,25,1,1602,
9,2012,11,45,4,1048,550
10,2012,3,10,1,1339,
11,2006,9,39,2,1749,
12,2012,1,2,1,1336,
13,2013,12,50,3,1360,605
14,2006,12,50,2,1686,
15,2006,10,40,2,1718,
16,2009,3,14,2,1592,
17,2010,10,42,2,1562,
18,2012,4,17,3,1631,
19,2014,11,48,5,1166,444
20,2014,5,21,4,1491,593
21,2006,9,36,3,1581,
22,2013,4,15,2,1508,613
23,2010,12,49,1,1277,
24,2014,2,6,6,1230,424
25,2013,2,8,5,1383,531
26,2009,12,53,4,1094,
27,2015,2,9,2,1094,580
28,2015,8,33,2,1354,601
29,2014,1,3,6,1381,448
30,2007,8,35,4,1604,
31,2014,5,20,7,1373,507
32,2015,9,37,5,1435,765
33,2012,6,23,5,1511,
34,2009,9,39,3,1622,
35,2011,12,49,4,1361,
36,2009,6,24,7,1230,
37,2013,10,40,5,1598,658
38,2011,1,3,5,1420,
39,2008,3,13,6,1370,
40,2012,10,43,7,1128,403
41,2008,9,37,6,1467,
42,2014,2,9,3,1250,511
43,2015,10,42,5,1522,676
44,2015,8,34,3,1561,594
45,2008,1,4,1,1183,
46,2006,4,15,3,1719,
47,2012,10,41,1,1226,376
48,2006,4,17,3,1546,
49,2013,3,13,5,1298,520
50,2007,2,6,7,1137,
51,2008,11,46,1,1435,
52,2008,6,23,1,1600,
53,2015,12,52,3,1210,805
54,2008,9,38,1,1578,
55,2007,7,28,2,1522,
56,2013,7,29,3,1512,609
57,2010,12,51,5,981,
58,2015,2,6,1,893,680
59,2007,5,21,1,1616,
60,2006,10,41,1,1488,
61,2013,1,3,5,1361,561
62,2008,3,10,3,1566,
63,2010,7,30,5,1562,
64,2010,1,3,6,1436,
65,2012,4,15,5,1434,
66,2008,4,15,7,1351,
67,2009,5,20,2,1672,
68,2014,8,33,1,1490,604
69,2009,4,14,3,1563,
70,2011,10,42,7,1248,
71,2006,12,49,5,1377,
72,2010,8,31,1,1449,
73,2009,4,14,7,1163,
74,2013,3,11,5,1349,607
75,2015,7,29,3,1565,608
76,2007,1,3,7,1130,
77,2011,8,33,2,1548,
78,2011,6,22,5,1536,
79,2012,9,36,5,1486,680
80,2015,9,38,4,1448,744
81,2009,5,19,1,1279,
82,2009,11,48,4,757,
83,2014,4,17,1,1277,521
84,2011,12,48,7,1135,
85,2009,11,45,5,1416,
86,2006,6,24,6,1376,
87,2015,1,3,5,1282,563
88,2008,3,12,5,1447,
89,2012,8,33,3,1404,602
90,2007,12,50,7,1046,
91,2009,4,16,3,1305,
92,2012,1,3,2,1439,
93,2013,8,32,7,1380,481
94,2010,7,28,1,1466,
95,2015,2,7,2,1197,571
96,2010,12,50,2,1300,
97,2015,4,14,3,1406,648
98,2007,5,20,2,1747,
99,2012,12,49,5,1310,714
100,2012,1,3,6,1108,
101,2011,10,44,1,1321,
102,2007,7,30,4,1615,
103,2013,7,30,2,1473,571
104,2010,5,21,6,1376,
105,2014,8,35,5,1481,631
106,2013,1,2,2,1425,513
107,2013,2,9,2,1352,537
108,2006,12,51,1,1507,
109,2015,11,48,6,1200,508
110,2007,3,11,7,1133,
111,2006,7,28,7,1265,
112,2008,12,1,1,1365,
113,2009,5,21,5,1512,
114,2013,10,41,2,1511,574
115,2014,11,47,4,1360,634
116,2013,11,45,5,1437,682
117,2008,3,14,1,1378,
118,2015,10,43,2,1412,714
119,2009,9,36,6,1431,
120,2015,11,47,3,1398,628
121,2011,8,32,1,1382,
122,2015,9,39,5,1277,585
123,2013,11,48,2,1319,867
124,2013,10,42,3,1410,548
125,2009,11,46,6,1230,
126,2008,11,47,6,1245,
127,2013,3,12,6,1224,488
128,2008,9,39,2,1577,
129,2012,8,34,2,1575,482
130,2008,10,43,7,1231,
131,2009,8,34,7,1315,
132,2008,8,35,3,1574,
133,2013,12,50,7,1013,450
134,2010,12,50,6,1308,
135,2015,1,4,6,1059,428
136,2009,8,34,3,1635,
137,2015,3,10,4,1029,829
138,2010,2,7,1,965,
139,2008,6,24,6,1412,
140,2012,12,50,4,1335,545
141,2010,5,20,5,1640,
142,2011,11,47,3,1372,
143,2013,1,1,5,1418,505
144,2015,2,9,6,1122,538
145,2013,8,31,4,1307,643
146,2009,7,27,3,1611,
147,2015,4,17,2,1486,645
148,2010,1,1,2,1451,
149,2012,6,23,1,1312,
150,2009,12,49,4,1504,
151,2008,9,40,1,1574,
152,2009,6,24,3,1544,
153,2009,5,18,6,1428,
154,2009,7,27,7,1300,
155,2014,3,9,6,1292,497
156,2014,4,16,2,1248,452
157,2013,12,52,1,1280,707
158,2013,9,38,4,1525,536
159,2007,4,16,7,1291,
160,2013,2,5,6,1272,534
161,2012,11,47,2,1368,671
162,2013,11,46,4,1519,620
163,2010,5,20,1,1455,
164,2007,9,39,1,1554,
165,2015,6,23,6,1272,598
166,2013,1,4,2,1223,544
167,2007,12,51,4,1505,
168,2009,6,23,4,1333,
169,2010,7,29,6,1362,
170,2008,6,23,5,1649,
171,2012,3,11,6,1325,
172,2014,8,32,6,1340,538
173,2007,5,19,7,1141,
174,2012,12,48,6,1243,480
175,2006,10,41,5,1541,
176,2012,9,39,6,1425,485
177,2013,1,3,1,1366,542
178,2014,12,49,7,1073,493
179,2008,3,10,7,1195,
180,2014,8,34,6,1362,454
181,2008,11,48,3,1446,
182,2010,10,43,5,1649,
183,2012,12,51,5,1310,751
184,2009,10,44,1,1492,
185,2014,6,23,1,1486,643
186,2015,3,11,7,1130,458
187,2011,2,8,7,1188,
188,2015,10,44,5,1307,688
189,2011,1,1,5,1299,
190,2014,2,7,1,1219,677
191,2010,8,31,5,1572,
192,2009,2,8,5,1398,
193,2013,11,44,6,1407,551
194,2015,4,16,1,1333,554
195,2015,2,8,5,1103,621
196,2007,1,3,3,1435,
197,2007,8,34,7,1342,
198,2006,12,52,2,1342,
199,2014,12,52,6,925,405
200,2006,7,27,2,1295,
201,2009,3,10,4,1493,
202,2012,10,40,2,1419,592
203,2009,11,45,1,1529,
204,2007,2,8,7,1153,
205,2013,11,47,5,1479,702
206,2006,1,1,6,1316,
207,2008,3,12,1,1463,
208,2009,2,9,4,1552,
209,2007,7,27,7,1291,
210,2015,11,45,5,1412,616
211,2011,8,34,7,664,
212,2007,5,19,3,1635,
213,2012,9,37,4,1463,632
214,2007,10,44,3,1530,
215,2007,9,36,4,1656,
216,2008,11,45,2,1297,
217,2014,5,22,1,1147,433
218,2010,3,9,4,1556,
219,2009,1,4,6,1329,
220,2012,9,38,1,1436,452
221,2015,6,27,2,1412,622
222,2010,9,35,4,1532,
223,2006,10,42,4,1656,
224,2011,7,27,3,1511,
225,2012,6,22,6,1326,
226,2006,11,44,5,1481,
227,2012,1,4,3,1506,
228,2008,10,44,2,1292,
229,2007,7,29,1,1578,
230,2010,7,30,1,1446,
231,2011,6,23,4,1347,
232,2010,5,18,3,1630,
233,2013,6,25,4,1436,681
234,2006,1,3,4,1638,
235,2010,2,6,2,1306,
236,2010,5,18,7,1109,
237,2007,9,38,2,1594,
238,2013,11,48,6,1176,479
239,2009,3,11,5,1483,
240,2011,3,12,6,1191,
241,2015,5,19,1,1251,640
242,2015,1,2,2,1059,776
243,2007,5,20,6,1280,
244,2012,7,30,7,1260,376
245,2015,12,53,4,1086,527
246,2013,6,26,1,1411,680
247,2013,3,12,2,1240,559
248,2008,9,39,6,1400,
249,2013,12,52,5,1348,476
250,2009,10,40,7,1351,
251,2013,12,1,2,1079,465
252,2006,6,25,5,1683,
253,2007,6,23,6,1314,
254,2008,8,35,7,1249,
255,2015,7,29,7,1212,545
256,2013,1,2,6,1305,475
257,2012,1,2,5,1453,
258,2015,1,4,2,1349,500
259,2006,10,40,6,1407,
260,2007,4,16,3,1675,
261,2012,4,14,2,1533,
262,2013,9,35,7,1328,480
263,2014,9,40,1,1495,566
264,2015,10,44,1,1307,698
265,2006,3,12,1,1531,
266,2012,5,18,3,1556,
267,2006,10,43,5,1523,
268,2015,6,26,1,1471,774
269,2007,3,10,4,1436,
270,2006,5,20,3,1639,
271,2015,6,25,4,1544,615
272,2010,1,1,6,1250,
273,2007,1,2,4,1574,
274,2006,6,23,1,1598,
275,2011,1,2,4,1262,
276,2015,9,37,1,1182,485
277,2013,6,24,5,1398,693
278,2006,1,2,5,1617,
279,2014,11,46,7,1186,429
280,2008,3,13,2,1622,
281,2013,8,33,4,1501,599
282,2015,5,20,4,1442,654
283,2006,11,45,2,1440,
284,2014,3,10,3,1394,491
285,2006,4,17,7,1238,
286,2013,3,13,1,1167,498
287,2011,9,36,4,1360,
288,2009,11,47,1,1500,
289,2012,11,44,7,1032,344
290,2007,2,6,3,1491,
291,2015,12,52,7,1161,518
292,2008,2,5,7,1267,
293,2010,2,5,7,1008,
294,2012,3,9,6,1278,
295,2008,9,38,5,1606,
296,2012,8,35,5,1438,701
297,2012,9,39,2,1556,593
298,2010,12,51,1,1245,
299,2014,12,49,3,1240,569
300,2015,1,5,1,855,484
301,2014,8,34,2,1507,516
302,2012,2,9,3,1365,
303,2006,1,4,3,1619,
304,2008,4,15,3,1565,
305,2012,8,31,5,1560,589
306,2011,2,7,4,1570,
307,2013,4,14,5,1375,582
308,2011,11,44,6,1374,
309,2009,12,52,7,1132,
310,2013,3,10,2,1359,527
311,2014,6,26,4,1449,670
312,2013,2,6,3,1428,566
313,2011,10,42,3,1409,
314,2015,2,8,1,997,402
315,2015,8,32,5,1509,726
316,2007,9,37,7,1351,
317,2011,9,37,7,1161,
318,2007,12,49,2,1457,
319,2008,7,28,3,1586,
320,2015,9,36,2,1524,626
321,2012,7,30,3,1650,612
322,2013,9,39,7,1336,506
323,2011,5,21,3,1594,
324,2009,5,19,5,1620,
325,2006,1,1,2,1395,
326,2008,9,36,1,1238,
327,2006,6,24,2,1648,
328,2013,7,27,5,1535,575
329,2015,9,36,6,1380,540
330,2015,6,24,7,1262,576
331,2010,12,48,6,1298,
332,2008,10,42,4,1646,
333,2006,7,27,6,1381,
334,2011,2,6,3,1338,
335,2009,3,13,3,1594,
336,2008,11,45,6,1410,
337,2015,5,21,7,1191,432
338,2007,6,24,3,1692,
339,2010,10,41,3,1613,
340,2012,12,49,1,1289,620
341,2012,9,38,5,1542,654
342,2010,5,21,2,1646,
343,2014,8,35,1,1372,549
344,2006,12,51,5,1439,
345,2009,8,36,1,1429,
346,2015,7,27,5,1431,549
347,2012,1,4,7,1159,
348,2010,1,2,1,1329,
349,2009,6,25,4,1324,
350,2012,11,46,1,1221,546
351,2006,7,28,3,1555,
352,2010,5,22,1,1184,
353,2006,9,38,5,1577,
354,2011,2,6,7,1146,
355,2015,1,5,5,1159,622
356,2013,11,45,1,1343,658
357,2014,12,49,2,1263,611
