,lat,long,freq,street_name,city,stree_number,zip_code
26870,40.750430768,-73.989282176,17232,West 34th Street,New York,154,10001
99042,40.710093846999996,-74.01060963,5710,Cortlandt Street,New York,1-27,10007
83628,40.791151866999996,-73.884371919,4779,Hazen Street,,15-0,11370
51470,40.804384045999996,-73.937421669,4731,Doctor Martin Luther King Junior Boulevard,New York,140,10035
62924,40.756266206999996,-73.990501248,4575,8th Avenue,New York,619-623,10018
7071,40.610717129,-73.92098528300001,4293,Avenue U,,5120,11234
70091,40.749121191,-73.98616772300001,4269,West 34th Street,New York,17-77,10001
22804,40.733926841,-73.871582398,4245,Queens Boulevard,,9020,11373
108472,40.684461543000005,-73.97775121,4143,Flatbush Avenue,,124,11217
9634,40.651698159,-73.868446756,4053,Gateway Drive,,351-369,11239
1356,40.804004719,-73.878335461,3785,Halleck Street,,1,10474
79382,40.829884885,-73.936761711,3760,Frederick Douglass Boulevard,New York,2931-2943,10039
99841,40.73448548,-73.868012689,3407,59th Avenue,,9259,11373
42301,40.808374136,-73.946885823,3331,Doctor Martin Luther King Junior Boulevard,New York,126n,10027
38853,40.756642041999996,-73.988371577,3243,West 42nd Street,New York,229-233,10036
30751,40.690866375,-73.985848057,3167,Fulton Street,,489,11201
70275,40.852141187,-73.922375722,3034,Richman Plaza,,20,10453
33645,40.873671035,-73.908013649,3026,West 225th Street,New York,49,10463
43953,40.757240531,-73.98979363699999,3011,8th Avenue,New York,663,10036
75664,40.76187469,-73.96635808399999,2993,3rd Avenue,New York,1000,10065
37860,40.68336304,-73.974867134,2861,Atlantic Avenue,,625-643,11217
41911,40.811130194,-73.936714506,2757,Madison Avenue,New York,2130,10037
54058,40.759869755,-73.828970412,2688,Roosevelt Avenue,,136-29-136-31,11354
95022,40.735120728000005,-73.991456867,2679,East 14th Street,New York,101,10003
14480,40.788721243000005,-73.939996774,2652,East 105th Street,New York,411-417,10029
72402,40.622153897,-74.02728485600001,2529,86th Street,,439-443,11209
83448,40.868467378000005,-73.821582846,2499,Bartow Avenue,,2270,10475
81376,40.723636973000005,-73.998298598,2494,Broadway,New York,549,10012
41094,40.804046007,-73.936620103,2414,Doctor Martin Luther King Junior Boulevard,New York,165,10035
62020,40.749733638,-73.989675685,2374,West 33rd Street,New York,125-131,10001
95689,40.809596838000004,-73.949785598,2283,Doctor Martin Luther King Junior Boulevard,New York,235,10027
88839,40.787874599,-73.928181646,2270,Robert F. Kennedy Bridge,New York,,10035
66233,40.751600255,-73.992046671,2198,West 34th Street,New York,250-272,10119
5131,40.734133054000004,-73.87190314,2184,Queens Boulevard,,,11373
38629,40.724800731,-73.997317247,2115,Broadway,New York,583-589,10012
26695,40.722415566,-73.999334029,2077,Broadway,New York,503-505,10012
958,40.734645797,-73.99033113,2044,East 14th Street,New York,101,10003
26794,40.732855777,-73.863884488,2043,Junction Boulevard,,61-24-61-58,11374
16758,40.668806093,-73.93112156699999,2033,Utica Avenue,,279,11213
49850,40.816088874,-73.917688689,1968,East 149th Street,,399E,10455
35308,40.582301992,-74.168936095,1956,Richmond Avenue,,2656,10314
22580,40.832941761,-73.935432593,1946,Harlem River Drive Service Road West,New York,2989-3647,10039
35510,40.805501602,-73.916477255,1881,East 137th Street,,603,10454
90685,40.615491223,-74.08165623,1870,Park Hill Avenue,,162-180,10304
30034,40.594978166,-74.00106367,1856,Bay Parkway,,8953-9059,11214
37639,40.82506399,-73.877397261,1800,Boynton Avenue,,1041,10472
94119,40.735330916,-73.875451472,1793,Queens Boulevard,,87-11,11373
83212,40.750664208,-73.990866575,1780,7th Avenue,New York,427,10001
43943,40.810476043,-73.951880151,1780,Doctor Martin Luther King Junior Boulevard,New York,308-322,10027
53983,40.752198698,-73.993465045,1749,West 34th Street,New York,301-303,10001
83758,40.750999048000004,-73.990624712,1743,,New York,,10018
87006,40.76795511,-73.982362342,1721,Columbus Circle,New York,80,10019
38594,40.797088586,-73.942752192,1713,Lexington Avenue,New York,1829-1839,10029
64998,40.702482133000004,-73.799922252,1691,Archer Avenue,,158-11,11433
30700,40.7986333,-73.941620371,1690,East 116th Street,New York,143,10029
41158,40.75012867,-73.987531779,1685,6th Avenue,New York,925-959,10001
106178,40.638984176,-74.171252305,1633,Holland Avenue,,54-60,10303
17484,40.807085412,-73.943830883,1602,Doctor Martin Luther King Junior Boulevard,New York,44,10027
31129,40.812699136999996,-73.92161973600001,1598,East 143rd Street,,355,10454
6868,40.756043535,-73.986949544,1597,West 42nd Street,New York,201,10036
21551,40.65690638,-73.885091156,1551,Wortman Avenue,,215-217,11207
56778,40.730596278,-73.863409224,1548,Queens Boulevard,,95-32,11374
100664,40.758232371,-73.977430585,1545,5th Avenue,New York,610-618,10020
46254,40.72601663,-73.996285351,1508,Broadway,New York,626,10012
65756,40.756916248,-73.98596397,1503,Broadway,New York,1501-1503,10036
69125,40.835494793,-73.907820691,1486,Webster Avenue,,1357,10456
33491,40.811393119,-73.922314872,1466,East 141st Street,,372-374,10454
17905,40.816980584,-73.921152255,1439,East 149th Street,,305-315,10451
87399,40.833154599000004,-73.909139311,1438,Webster Avenue,,1238-1298,10456
47936,40.64173826,-74.075678037,1438,Bay Street,,5,10301
49762,40.836652522,-73.90714690899999,1428,Webster Avenue,,1400,10456
40819,40.827819901,-73.925930756,1427,East 161st Street,,67,10451
40956,40.863338448,-73.896469785,1415,Grand Concourse,,2537,10468
5063,40.816366145,-73.86762631100001,1410,Randall Avenue,,1689-1705,10473
66815,40.763976222,-73.973241135,1401,5th Avenue,New York,764,10019
39847,40.751449824,-73.976050545,1400,East 42nd Street,New York,130,10017
39478,40.750021973,-73.991339463,1400,7th Avenue,New York,404-408,10001
3246,40.799196819,-73.933081517,1380,1st Avenue,New York,2366,10035
21173,40.742237851999995,-73.991192516,1364,West 23rd Street,New York,31,10010
69290,40.664239422,-73.908425011,1363,Dumont Avenue,,293,11212
95498,40.703554914,-73.799677386,1361,Jamaica Avenue,,159-11,11432
35475,40.810772766999996,-73.95259159,1338,Saint Nicholas Avenue,New York,288,10027
15931,40.798193324,-73.967351028,1337,Amsterdam Avenue,New York,870,10025
76881,40.695864034,-73.981822445,1332,Tillary Street,,223-249,11201
78848,40.757379872,-73.984126607,1331,West 45th Street,New York,125,10036
36091,40.662767503000005,-73.907529526,1326,Livonia Avenue,,276-280,11212
110787,40.825967994,-73.85682155399999,1314,Bruckner Expressway,,,10473
28695,40.731667658,-73.989415087,1302,East 11th Street,New York,117-125,10003
92760,40.813710246,-73.923182807,1292,East 143rd Street,,325,10451
111019,40.667533426999995,-73.86424849,1287,Loring Avenue,,1281-1291,11208
40391,40.735783278,-73.81062580300001,1278,Parsons Boulevard,,65-10,11367
47743,40.813088658000005,-73.95797991100001,1277,La Salle Street,New York,80,10027
26648,40.822082527,-73.890330326,1271,Hoe Avenue,,936,10459
5769,40.677605279,-73.82821878,1267,Rockaway Boulevard,,110-11-110-15,11420
265,40.743470455,-74.005393004,1263,West 17th Street,New York,427w,10011
90442,40.584256706,-74.168656624,1257,Richmond Avenue,,2555,10314
9427,40.807780621999996,-73.945484727,1257,Doctor Martin Luther King Junior Boulevard,New York,100,10027
62269,40.757839003,-73.99121211100001,1246,West 42nd Street,New York,329,10036
60550,40.679980738000005,-73.77623390699999,1233,Baisley Boulevard,,167-0-167-2,11434
675,40.575031251,-73.989882667,1233,West 23rd Street,,2940-2946,11224
