,Zipcode,Freq_Colli,Freq_Crime
0,11207,13236.0,90879.0
1,11101,10815.0,31349.0
2,10016,10626.0,26443.0
3,10022,10460.0,24736.0
4,10019,10444.0,42245.0
5,10036,9993.0,47406.0
6,11201,9732.0,56255.0
7,10001,9614.0,75590.0
8,11203,9103.0,49092.0
9,10013,8623.0,31249.0
10,11236,8586.0,54428.0
11,11234,8449.0,44158.0
12,11385,8438.0,49528.0
13,10002,8256.0,52297.0
14,11226,8195.0,69322.0
15,11434,7977.0,36639.0
16,11208,7664.0,73094.0
17,11220,7489.0,38679.0
18,11212,7489.0,85333.0
19,11230,7326.0,23413.0
20,10467,7270.0,64646.0
21,10018,7261.0,28077.0
22,11206,7226.0,68621.0
23,11213,7173.0,51406.0
24,11233,7145.0,68990.0
25,11354,7008.0,29239.0
26,10017,6694.0,15562.0
27,11211,6676.0,44865.0
28,10011,6654.0,45297.0
29,11377,6627.0,32316.0
30,11355,6470.0,20247.0
31,11235,6418.0,32680.0
32,11217,6362.0,31846.0
33,11216,6345.0,50335.0
34,11373,6271.0,37921.0
35,10003,6225.0,54137.0
36,11223,6089.0,30310.0
37,10029,6016.0,71511.0
38,11215,5985.0,26991.0
39,10065,5944.0,14217.0
40,11368,5895.0,39500.0
41,11221,5814.0,62815.0
42,11210,5790.0,31992.0
43,10306,5777.0,23341.0
44,10458,5751.0,62478.0
45,10466,5737.0,37351.0
46,11219,5714.0,21915.0
47,11432,5635.0,36522.0
48,11372,5605.0,31879.0
49,11229,5550.0,30423.0
50,11204,5529.0,20003.0
51,11214,5464.0,33575.0
52,11218,5376.0,22276.0
53,10027,5312.0,64166.0
54,10035,5300.0,47440.0
55,11238,5178.0,28628.0
56,11375,5175.0,20021.0
57,10468,5156.0,58743.0
58,10451,5144.0,51336.0
59,11222,5029.0,18089.0
60,10469,5019.0,31462.0
61,11413,4959.0,19109.0
62,11225,4877.0,38468.0
63,10012,4875.0,29317.0
64,10461,4862.0,29752.0
65,10010,4848.0,19039.0
66,10457,4806.0,73024.0
67,10025,4770.0,44356.0
68,11420,4761.0,21795.0
69,10460,4698.0,50257.0
70,11435,4623.0,27058.0
71,10023,4616.0,28070.0
72,11205,4562.0,28332.0
73,10304,4527.0,29182.0
74,10312,4452.0,17415.0
75,11422,4404.0,11370.0
76,10462,4397.0,43317.0
77,11209,4343.0,31000.0
78,11419,4306.0,23118.0
79,10301,4196.0,29909.0
80,10456,4191.0,78167.0
81,11237,4177.0,29293.0
82,10453,4139.0,56088.0
83,10024,4088.0,22236.0
84,11378,4068.0,15400.0
85,10459,4049.0,48848.0
86,10014,3997.0,27344.0
87,10463,3974.0,35819.0
88,11232,3974.0,17795.0
89,10021,3927.0,10045.0
90,10305,3926.0,19044.0
91,10128,3880.0,15621.0
92,10454,3869.0,44259.0
93,10452,3861.0,61011.0
94,10032,3698.0,34264.0
95,10033,3676.0,27382.0
96,10472,3587.0,56967.0
97,10455,3555.0,47444.0
98,10009,3555.0,31121.0
99,11361,3544.0,9439.0
100,11417,3537.0,15261.0
101,11433,3532.0,31631.0
102,11691,3510.0,35276.0
103,11358,3466.0,9422.0
104,10314,3338.0,39044.0
105,11418,3332.0,18640.0
106,11374,3321.0,14638.0
107,11412,3249.0,17658.0
108,11106,3220.0,18244.0
109,11228,3173.0,12551.0
110,10473,3099.0,45846.0
111,11369,3037.0,21610.0
112,10031,3022.0,44989.0
113,10034,2992.0,20048.0
114,11224,2907.0,34119.0
115,10028,2853.0,14549.0
116,11367,2852.0,14216.0
117,11379,2845.0,10944.0
118,10465,2841.0,20477.0
119,11231,2829.0,21239.0
120,11421,2807.0,15110.0
121,10475,2746.0,19792.0
122,11423,2735.0,12412.0
123,11103,2707.0,17292.0
124,11249,2637.0,
125,10309,2574.0,12919.0
126,10007,2466.0,14333.0
127,10310,2436.0,16969.0
128,11370,2421.0,17179.0
129,11416,2349.0,11924.0
130,11357,2294.0,8856.0
131,11429,2291.0,11549.0
132,10474,2203.0,20104.0
133,10030,2179.0,26366.0
134,11102,2160.0,14870.0
135,10075,2156.0,5902.0
136,11356,2141.0,8960.0
137,11365,2141.0,11581.0
138,10026,2118.0,30497.0
139,11364,2095.0,7835.0
140,11414,2068.0,9210.0
141,10470,2059.0,8921.0
142,11411,2042.0,7216.0
143,11105,1997.0,12839.0
144,10037,1975.0,14839.0
145,11427,1947.0,7090.0
146,10038,1941.0,12022.0
147,10308,1852.0,9327.0
