,freq,zipcode,avg_price
1,75590,10001,1124480.8333333333
2,52297,10002,574702.5423728813
3,54137,10003,873249.1071428572
4,4323,10004,1055587.5
5,3014,10005,949965.8333333334
6,3276,10006,708124.1666666666
7,14333,10007,1929186.6666666667
10,45297,10011,995621.7391304348
11,29317,10012,1631204.6875
12,31249,10013,2188788.3333333335
13,27344,10014,1023213.0434782609
14,26443,10016,710974.1666666666
15,15562,10017,641914.1666666666
19,10045,10021,914096.6666666666
20,24736,10022,844821.186440678
22,22236,10024,1044027.536231884
23,44356,10025,796489.3617021276
24,30497,10026,666152.2522522523
25,64166,10027,574244.2307692308
29,44989,10031,547545.6140350878
30,34264,10032,460037.5
31,27382,10033,449575.0
33,47440,10035,550448.8888888889
36,12022,10038,824462.5
38,17269,10040,387269.5652173913
41,14217,10065,1136323.3333333333
42,559,10069,1524374.1666666667
43,5902,10075,804036.9369369369
46,15621,10128,838482.905982906
48,1184,10280,642000.0
51,29909,10301,402984.1666666667
52,14716,10302,333458.3333333333
53,17946,10303,287696.6666666667
54,29182,10304,382261.6666666667
55,19044,10305,383440.8333333333
56,23341,10306,408397.5
57,5093,10307,480261.6666666667
58,9327,10308,412295.8333333333
59,12919,10309,458128.3333333333
60,16969,10310,389077.5
61,17415,10312,424709.1666666667
62,39044,10314,389629.1666666667
68,78167,10456,274335.3846153846
69,73024,10457,314736.6666666667
71,48848,10459,295344.1666666667
74,43317,10462,104522.89156626505
75,35819,10463,434431.6666666667
76,2335,10464,484033.3333333333
82,8921,10470,387782.5
85,45846,10473,318965.0
88,746,11001,476250.0
89,2608,11004,494077.5
91,994,11040,512385.0
92,60,11096,361955.0
95,17292,11103,549205.8333333334
97,12839,11105,558231.6666666666
100,56255,11201,625735.9223300971
101,49092,11203,384364.1666666667
102,20003,11204,596835.0
103,28332,11205,513023.8805970149
104,68621,11206,415923.3333333333
105,90879,11207,323198.3333333333
106,73094,11208,340695.8333333333
107,31000,11209,511533.3333333333
108,31992,11210,517425.0
109,44865,11211,711156.7164179104
110,85333,11212,321465.8333333333
111,51406,11213,569435.8208955224
112,33575,11214,464054.1666666667
113,26991,11215,663325.0
115,31846,11217,669058.3333333334
117,21915,11219,596816.4179104478
119,62815,11221,494819.1666666667
120,18089,11222,668455.223880597
121,30310,11223,584505.0
122,34119,11224,368025.0
123,38468,11225,604526.8656716418
124,69322,11226,405737.5
125,12551,11228,642875.0
127,23413,11230,588987.5
128,21239,11231,679786.6666666666
129,17795,11232,356039.1666666667
130,68990,11233,388288.05970149254
131,44158,11234,449028.3333333333
134,29293,11237,435219.4029850746
135,28628,11238,566038.8059701492
140,8960,11356,496911.6666666667
141,8856,11357,639626.6666666666
145,9439,11361,603971.6666666666
146,4439,11362,643431.6666666666
147,1621,11363,806360.0
149,11581,11365,620354.1666666666
150,3647,11366,646214.1666666666
151,14216,11367,426982.5
152,39500,11368,284857.5
153,21610,11369,487317.5
154,17179,11370,497952.5
157,37921,11373,298801.25
160,32316,11377,307181.6666666667
161,15400,11378,507480.8333333333
162,10944,11379,539233.3333333334
163,49528,11385,459210.0
164,7216,11411,399910.0
165,17658,11412,381505.8333333333
166,19109,11413,392970.0
167,9210,11414,510834.1666666667
169,11924,11416,391614.1666666667
170,15261,11417,403204.1666666667
171,18640,11418,412626.6666666667
172,23118,11419,400748.3333333333
173,21795,11420,400901.6666666667
174,15110,11421,393075.0
175,11370,11422,393518.3333333333
176,12412,11423,431237.5
177,5586,11426,479466.6666666667
178,7090,11427,446186.6666666667
179,6155,11428,420045.0
180,11549,11429,394575.0
182,36522,11432,521086.6666666667
183,31631,11433,362560.8333333333
184,36639,11434,360338.3333333333
185,27058,11435,345454.1666666667
186,11475,11436,346615.8333333333
188,35276,11691,361027.9411764706
189,9815,11692,312035.0
190,8895,11693,328174.1666666667
191,7797,11694,678232.5
