,year,month,weeknum,weekday,freq,Key,Year,Month,Label,Unemployment Rate (%)
0,62186,31,132,122,45351,2006 01,2006,01,2006 Jan,5.5
1,56168,56,190,112,38308,2006 02,2006,02,2006 Feb,5.7
2,62186,93,341,124,45529,2006 03,2006,03,2006 Mar,5.3
3,60180,120,460,125,43621,2006 04,2006,04,2006 Apr,5.1
4,62186,155,612,118,47106,2006 05,2006,05,2006 May,4.9
5,60180,180,722,121,46199,2006 06,2006,06,2006 Jun,4.9
6,62186,217,881,126,47088,2006 07,2006,07,2006 Jul,5.5
7,62186,248,1019,121,47729,2006 08,2006,08,2006 Aug,5.0
8,60180,270,1116,123,45606,2006 09,2006,09,2006 Sep,4.5
9,62186,310,1289,122,46919,2006 10,2006,10,2006 Oct,4.4
10,60180,330,1378,119,43818,2006 11,2006,11,2006 Nov,4.5
11,62186,372,1558,130,42703,2006 12,2006,12,2006 Dec,4.4
12,62217,31,85,118,45203,2007 01,2007,01,2007 Jan,5.3
13,56196,56,194,112,37062,2007 02,2007,02,2007 Feb,5.0
14,62217,93,345,127,43926,2007 03,2007,03,2007 Mar,4.5
15,60210,120,465,120,42709,2007 04,2007,04,2007 Apr,4.5
16,62217,155,616,121,47919,2007 05,2007,05,2007 May,4.7
17,60210,180,726,123,46155,2007 06,2007,06,2007 Jun,5.1
18,62217,217,886,122,47239,2007 07,2007,07,2007 Jul,5.7
19,62217,248,1023,124,47774,2007 08,2007,08,2007 Aug,5.3
20,60210,270,1120,125,46859,2007 09,2007,09,2007 Sep,5.0
21,62217,310,1294,118,48660,2007 10,2007,10,2007 Oct,5.1
22,60210,330,1382,121,42811,2007 11,2007,11,2007 Nov,4.9
23,62217,372,1511,126,42063,2007 12,2007,12,2007 Dec,5.1
24,62248,31,89,121,45370,2008 01,2008,01,2008 Jan,5.6
25,58232,58,207,117,39592,2008 02,2008,02,2008 Feb,5.4
26,62248,93,354,126,44268,2008 03,2008,03,2008 Mar,5.0
27,60240,120,474,117,43531,2008 04,2008,04,2008 Apr,4.5
28,62248,155,624,127,45393,2008 05,2008,05,2008 May,5.0
29,60240,180,735,120,45599,2008 06,2008,06,2008 Jun,5.2
30,62248,217,895,121,46734,2008 07,2008,07,2008 Jul,5.7
31,62248,248,1031,130,46991,2008 08,2008,08,2008 Aug,5.9
32,60240,270,1130,115,45160,2008 09,2008,09,2008 Sep,5.8
33,62248,310,1302,124,45859,2008 10,2008,10,2008 Oct,6.2
34,60240,330,1390,125,40923,2008 11,2008,11,2008 Nov,6.3
35,62248,372,1417,118,40614,2008 12,2008,12,2008 Dec,6.9
36,62279,31,97,127,40875,2009 01,2009,01,2009 Jan,7.9
37,56252,56,206,112,37579,2009 02,2009,02,2009 Feb,8.6
38,62279,93,359,122,43319,2009 03,2009,03,2009 Mar,8.7
39,60270,120,478,119,41646,2009 04,2009,04,2009 Apr,8.3
40,62279,155,628,130,44644,2009 05,2009,05,2009 May,8.9
41,60270,180,740,115,43343,2009 06,2009,06,2009 Jun,9.5
42,62279,217,899,124,45468,2009 07,2009,07,2009 Jul,9.9
43,62279,248,1036,126,46290,2009 08,2009,08,2009 Aug,10.0
44,60270,270,1134,117,43699,2009 09,2009,09,2009 Sep,10.0
45,62279,310,1306,127,44785,2009 10,2009,10,2009 Oct,10.3
46,60270,330,1395,120,42023,2009 11,2009,11,2009 Nov,9.9
47,62279,372,1577,121,39385,2009 12,2009,12,2009 Dec,9.9
48,62310,31,229,130,42415,2010 01,2010,01,2010 Jan,10.5
49,56280,56,182,112,34054,2010 02,2010,02,2010 Feb,10.3
50,62310,93,333,118,42975,2010 03,2010,03,2010 Mar,10.0
51,60300,120,452,121,43054,2010 04,2010,04,2010 Apr,9.5
52,62310,155,602,126,44773,2010 05,2010,05,2010 May,9.2
53,60300,180,714,117,44673,2010 06,2010,06,2010 Jun,9.4
54,62310,217,872,127,44853,2010 07,2010,07,2010 Jul,9.7
