Year,Month,Label,Unemployment Rate (%)
2006,Jan,2006 Jan,5.5
2006,Feb,2006 Feb,5.7
2006,Mar,2006 Mar,5.3
2006,Apr,2006 Apr,5.1
2006,May,2006 May,4.9
2006,Jun,2006 Jun,4.9
2006,Jul,2006 Jul,5.5
2006,Aug,2006 Aug,5
2006,Sep,2006 Sep,4.5
2006,Oct,2006 Oct,4.4
2006,Nov,2006 Nov,4.5
2006,Dec,2006 Dec,4.4
2007,Jan,2007 Jan,5.3
2007,Feb,2007 Feb,5
2007,Mar,2007 Mar,4.5
2007,Apr,2007 Apr,4.5
2007,May,2007 May,4.7
2007,Jun,2007 Jun,5.1
2007,Jul,2007 Jul,5.7
2007,Aug,2007 Aug,5.3
2007,Sep,2007 Sep,5
2007,Oct,2007 Oct,5.1
2007,Nov,2007 Nov,4.9
2007,Dec,2007 Dec,5.1
2008,Jan,2008 Jan,5.6
2008,Feb,2008 Feb,5.4
2008,Mar,2008 Mar,5
2008,Apr,2008 Apr,4.5
2008,May,2008 May,5
2008,Jun,2008 Jun,5.2
2008,Jul,2008 Jul,5.7
2008,Aug,2008 Aug,5.9
2008,Sep,2008 Sep,5.8
2008,Oct,2008 Oct,6.2
2008,Nov,2008 Nov,6.3
2008,Dec,2008 Dec,6.9
2009,Jan,2009 Jan,7.9
2009,Feb,2009 Feb,8.6
2009,Mar,2009 Mar,8.7
2009,Apr,2009 Apr,8.3
2009,May,2009 May,8.9
2009,Jun,2009 Jun,9.5
2009,Jul,2009 Jul,9.9
2009,Aug,2009 Aug,10
2009,Sep,2009 Sep,10
2009,Oct,2009 Oct,10.3
2009,Nov,2009 Nov,9.9
2009,Dec,2009 Dec,9.9
2010,Jan,2010 Jan,10.5
2010,Feb,2010 Feb,10.3
2010,Mar,2010 Mar,10
2010,Apr,2010 Apr,9.5
2010,May,2010 May,9.2
2010,Jun,2010 Jun,9.4
2010,Jul,2010 Jul,9.7
2010,Aug,2010 Aug,9.5
2010,Sep,2010 Sep,9.2
2010,Oct,2010 Oct,9.2
2010,Nov,2010 Nov,9.2
2010,Dec,2010 Dec,8.8
2011,Jan,2011 Jan,9.4
2011,Feb,2011 Feb,9.2
2011,Mar,2011 Mar,8.6
2011,Apr,2011 Apr,8.3
2011,May,2011 May,8.5
2011,Jun,2011 Jun,9.1
2011,Jul,2011 Jul,9.3
2011,Aug,2011 Aug,9.3
2011,Sep,2011 Sep,9.2
2011,Oct,2011 Oct,9.5
2011,Nov,2011 Nov,9.3
2011,Dec,2011 Dec,9.3
2012,Jan,2012 Jan,10
2012,Feb,2012 Feb,10.1
2012,Mar,2012 Mar,9.6
2012,Apr,2012 Apr,8.8
2012,May,2012 May,9.2
2012,Jun,2012 Jun,9.7
2012,Jul,2012 Jul,9.9
2012,Aug,2012 Aug,9.4
2012,Sep,2012 Sep,8.7
2012,Oct,2012 Oct,9
2012,Nov,2012 Nov,8.6
2012,Dec,2012 Dec,9
2013,Jan,2013 Jan,9.9
2013,Feb,2013 Feb,9.4
2013,Mar,2013 Mar,8.6
2013,Apr,2013 Apr,8.2
2013,May,2013 May,8.6
2013,Jun,2013 Jun,9.2
2013,Jul,2013 Jul,9.2
2013,Aug,2013 Aug,9.1
2013,Sep,2013 Sep,8.8
2013,Oct,2013 Oct,9
2013,Nov,2013 Nov,8.4
2013,Dec,2013 Dec,7.8
2014,Jan,2014 Jan,8.4
2014,Feb,2014 Feb,8.6
2014,Mar,2014 Mar,8.1
2014,Apr,2014 Apr,7
2014,May,2014 May,7.3
2014,Jun,2014 Jun,7.3
2014,Jul,2014 Jul,7.5
2014,Aug,2014 Aug,7.2
2014,Sep,2014 Sep,6.5
2014,Oct,2014 Oct,6.6
2014,Nov,2014 Nov,6.7
2014,Dec,2014 Dec,6.2
2015,Jan,2015 Jan,7
2015,Feb,2015 Feb,6.7
2015,Mar,2015 Mar,6.1
2015,Apr,2015 Apr,5.7
2015,May,2015 May,5.8
2015,Jun,2015 Jun,5.6
2015,Jul,2015 Jul,5.7
2015,Aug,2015 Aug,5.3
2015,Sep,2015 Sep,5
2015,Oct,2015 Oct,5.2
2015,Nov,2015 Nov,5.3
2015,Dec,2015 Dec,5.2
